# NF270 ion rejections vs transmembrane flux -- the paper's FIGURES 1-4, DIGITISED
#
# SOURCE PAPER:
#   M. Fernandez de Labastida, A. Yaroshchuk, "Nanofiltration of Multi-Ion Solutions:
#   Quantitative Control of Concentration Polarization and Interpretation by
#   Solution-Diffusion-Electro-Migration Model", Membranes 11 (2021) 272.
#   DOI: 10.3390/membranes11040272   Licence: CC BY 4.0.
#   Feeds: dominant salt 0.01 mol/L (NaCl, MgCl2, Na2SO4, MgSO4) + trace salts 2e-4 mol/L
#   (NaNO3, NH4Cl); 20 C; 2-14 bar; rotating-disk cell, rejections CP-corrected (intrinsic).
#
# HOW: read off the publisher's 2460 px panels by bin/curate/digitise_fdl2021.py -- that
# script's header states the method, the calibration check and what the reading error means.
# Regenerate with `bin/curate/digitise_fdl2021.py --download`.
# f = 1/(1-R) (reciprocal intrinsic transmission); R = 1 - 1/f.  f_exp is the SYMBOL (the
# measurement, CP-corrected by the authors); f_line the authors' SDEM fit read under the
# same marker (empty where their line stops short of it).  dJv/df are READING errors only.
# figure,salt,series,axis,Jv_umps,dJv_umps,f_exp,df,f_line,quality,px_x,px_y,bbox
g001a,NaCl,NaCl,left,8.239,0.06,1.7579,0.0168,2.1208,clean,557.0,1007.0,47x47
g001a,NaCl,NaCl,left,12.344,0.06,2.1449,0.0168,2.666,clean,700.0,961.0,47x47
g001a,NaCl,NaCl,left,20.153,0.06,3.7262,0.0168,3.7064,clean,972.0,773.0,47x47
g001a,NaCl,NaCl,left,27.732,0.06,4.8701,0.0168,4.7152,clean,1236.0,637.0,47x47
g001a,NaCl,NaCl,left,36.172,0.06,5.9804,0.0168,5.8406,clean,1530.0,505.0,47x47
g001a,NaCl,NaCl,left,45.1,0.06,7.0486,0.0168,7.032,clean,1841.0,378.0,47x47
g001a,NaCl,NaCl,left,55.837,0.06,6.2748,0.0168,,clean,2215.0,470.0,47x47
g001b,NaCl,NH4,left,8.267,0.08,2.0405,0.0156,2.0197,clean,534.0,1062.5,35x34
g001b,NaCl,NH4,left,12.298,0.07,2.3956,0.0125,2.481,clean,653.0,1005.5,37x38
g001b,NaCl,NH4,left,20.141,0.07,3.4611,0.0125,3.3879,clean,884.5,834.5,36x38
g001b,NaCl,NH4,left,27.764,0.07,4.3614,0.0125,4.2596,clean,1109.5,690.0,36x39
g001b,NaCl,NH4,left,36.217,0.12,4.9969,0.0218,5.2196,clean,1359.0,588.0,33x33
g001b,NaCl,NH4,left,45.127,0.12,5.5327,0.0218,6.2192,clean,1622.0,502.0,33x33
g001b,NaCl,NH4,left,55.867,0.12,5.1526,0.0218,,clean,1939.0,563.0,33x33
g001b,NaCl,NO3,left,8.233,0.07,0.9159,0.0125,1.0362,clean,533.0,1243.0,47x49
g001b,NaCl,NO3,left,12.366,0.07,0.9844,0.0125,1.1182,clean,655.0,1232.0,47x53
g001b,NaCl,NO3,left,20.158,0.07,1.3146,0.0125,1.3209,clean,885.0,1179.0,49x47
g001b,NaCl,NO3,left,27.713,0.07,1.5265,0.0125,1.5474,clean,1108.0,1145.0,49x47
g001b,NaCl,NO3,left,36.2,0.07,1.9128,0.0125,1.8172,clean,1358.5,1083.0,48x47
g001b,NaCl,NO3,left,45.127,0.07,2.1433,0.0125,2.1132,clean,1622.0,1046.0,49x47
g001b,NaCl,NO3,left,55.867,0.07,1.9626,0.0125,2.477,clean,1939.0,1075.0,47x47
g002a,MgCl2,MgCl2,left,8.727,0.06,2.2368,0.0132,2.0684,clean,570.0,822.0,47x47
g002a,MgCl2,MgCl2,left,13.349,0.06,2.7566,0.0132,2.6033,clean,731.0,743.0,47x47
g002a,MgCl2,MgCl2,left,19.751,0.06,3.2303,0.0132,3.2918,clean,954.0,671.0,47x47
g002a,MgCl2,MgCl2,left,28.364,0.06,4.0395,0.0132,4.1431,clean,1254.0,548.0,47x47
g002a,MgCl2,MgCl2,left,36.488,0.06,4.7566,0.0132,4.8742,clean,1537.0,439.0,47x47
g002a,MgCl2,MgCl2,left,44.411,0.06,5.6645,0.0132,5.5199,clean,1813.0,301.0,47x47
g002a,MgCl2,MgCl2,left,52.536,0.06,6.125,0.0132,6.1205,clean,2096.0,231.0,47x47
g002b,MgCl2,NO3,left,8.721,0.07,1.6027,0.0139,1.8913,clean,614.0,519.0,47x47
g002b,MgCl2,NO3,left,13.333,0.07,1.8556,0.0161,2.309,clean,742.0,485.0,47x47
g002b,MgCl2,NO3,left,19.73,0.07,2.8302,0.0245,2.8869,clean,919.5,387.0,48x47
g002b,MgCl2,NO3,left,28.36,0.07,3.4209,0.0296,3.6496,clean,1159.0,343.0,47x47
g002b,MgCl2,NO3,left,36.505,0.07,4.2432,0.0367,4.3541,clean,1385.0,293.0,49x47
g002b,MgCl2,NO3,left,44.432,0.07,5.0629,0.0438,5.0249,clean,1605.0,252.0,49x47
g002b,MgCl2,NO3,left,52.541,0.07,6.0932,0.0527,5.674,clean,1830.0,209.0,47x47
g002b,MgCl2,Na,left,19.766,0.09,0.7239,0.0078,0.6951,clean,920.5,703.5,46x34
g002b,MgCl2,Na,left,28.36,0.07,0.6786,0.0059,0.6682,clean,1159.0,718.5,49x44
g002b,MgCl2,Na,left,36.505,0.07,0.6713,0.0058,0.657,clean,1385.0,721.0,49x47
g002b,MgCl2,Na,left,44.432,0.07,0.6403,0.0055,0.6559,clean,1605.0,732.0,49x47
g002b,MgCl2,Na,left,52.523,0.07,0.6514,0.0056,0.6606,clean,1829.5,728.0,48x47
g002b,MgCl2,NH4,left,8.414,0.32,0.7381,0.0292,0.7977,occluded,605.5,699.0,22x21
g002b,MgCl2,NH4,left,13.279,0.07,0.6845,0.0059,0.6942,clean,740.5,716.5,42x20
g002b,MgCl2,NH4,left,19.802,0.07,0.6041,0.0052,0.623,clean,921.5,745.5,36x36
g002b,MgCl2,NH4,left,28.396,0.07,0.5483,0.0047,0.5669,clean,1160.0,768.0,35x37
g002b,MgCl2,NH4,left,36.505,0.13,0.532,0.0081,0.529,clean,1385.0,775.0,33x33
g002b,MgCl2,NH4,left,44.468,0.07,0.4849,0.0042,0.5004,clean,1606.0,796.5,35x36
g002b,MgCl2,NH4,left,52.541,0.09,0.4756,0.0052,0.4782,clean,1830.0,801.0,35x33
g003a,Na2SO4,Na2SO4,left,6.431,0.06,52.2045,0.6567,39.7887,clean,593.0,1020.0,47x47
g003a,Na2SO4,Na2SO4,left,10.469,0.06,77.1576,0.6567,65.0774,clean,728.0,944.0,47x47
g003a,Na2SO4,Na2SO4,left,18.903,0.06,122.7955,0.6567,116.996,clean,1010.0,805.0,47x47
g003a,Na2SO4,Na2SO4,left,27.248,0.06,160.2251,0.6567,168.3799,clean,1289.0,691.0,47x47
g003a,Na2SO4,Na2SO4,left,33.619,0.06,214.728,0.6567,207.34,clean,1502.0,525.0,47x47
g003a,Na2SO4,Na2SO4,left,41.755,0.06,261.6792,0.6567,257.3438,clean,1774.0,382.0,47x47
g003a,Na2SO4,Na2SO4,left,49.472,0.06,284.9906,0.6567,304.6724,clean,2032.0,311.0,47x47
g003b,Na2SO4,NH4,left,6.462,0.09,44.7539,0.2321,42.5388,clean,531.5,710.0,34x35
g003b,Na2SO4,NH4,left,10.485,0.09,50.8821,0.2321,48.8789,clean,642.0,644.0,35x35
g003b,Na2SO4,NH4,left,18.932,0.13,63.7883,0.325,61.1173,clean,874.0,505.0,33x33
g003b,Na2SO4,NH4,left,27.178,0.07,71.2163,0.1857,72.0979,clean,1100.5,425.0,38x35
g003b,Na2SO4,NH4,left,33.641,0.13,77.8087,0.325,80.2589,clean,1278.0,354.0,33x33
g003b,Na2SO4,NH4,left,41.705,0.07,88.9508,0.1857,90.0217,clean,1499.5,234.0,36x35
g003b,Na2SO4,NH4,left,49.478,0.11,89.4615,0.2786,99.102,clean,1713.0,228.5,33x34
g003b,Na2SO4,Cl,right,6.462,0.07,1.337,0.0334,1.1129,clean,531.5,1112.0,48x47
g003b,Na2SO4,Cl,right,10.467,0.07,1.9721,0.0334,1.6626,clean,641.5,1074.0,48x51
g003b,Na2SO4,Cl,right,18.896,0.07,3.3844,0.0334,2.8958,clean,873.0,989.5,47x48
g003b,Na2SO4,Cl,right,27.251,0.07,4.429,0.0334,4.1304,clean,1102.5,927.0,48x49
g003b,Na2SO4,Cl,right,33.604,0.07,6.7354,0.0334,5.0938,clean,1277.0,789.0,47x47
g003b,Na2SO4,Cl,right,41.723,0.07,7.3538,0.0334,6.274,clean,1500.0,752.0,47x47
g003b,Na2SO4,Cl,right,49.478,0.07,7.0362,0.0334,7.422,clean,1713.0,771.0,47x53
g003b,Na2SO4,NO3,right,6.444,0.07,0.5014,0.0334,0.5141,clean,531.0,1162.0,47x47
g003b,Na2SO4,NO3,right,10.467,0.07,0.7187,0.0334,0.6915,clean,641.5,1149.0,48x47
g003b,Na2SO4,NO3,right,18.896,0.07,1.1365,0.0334,1.1492,clean,873.0,1124.0,49x47
g003b,Na2SO4,NO3,right,27.215,0.07,1.4373,0.0334,1.6127,clean,1101.5,1106.0,48x47
g003b,Na2SO4,NO3,right,33.623,0.07,2.0891,0.0334,1.9654,clean,1277.5,1067.0,48x47
g003b,Na2SO4,NO3,right,41.742,0.07,2.5237,0.0334,2.4182,clean,1500.5,1041.0,48x47
g003b,Na2SO4,NO3,right,49.46,0.07,2.8078,0.0334,2.8422,clean,1712.5,1024.0,48x47
g004a,MgSO4,MgSO4,left,7.208,0.06,42.9174,0.5629,32.5806,clean,611.0,997.5,47x48
g004a,MgSO4,MgSO4,left,11.575,0.06,53.3302,0.5629,52.9156,clean,757.0,960.5,47x48
g004a,MgSO4,MgSO4,left,19.172,0.06,92.5891,0.5629,87.0073,clean,1011.0,821.0,47x47
g004a,MgSO4,MgSO4,left,26.859,0.06,120.4503,0.5629,121.6265,clean,1268.0,722.0,47x47
g004a,MgSO4,MgSO4,left,34.726,0.06,152.2514,0.5629,157.0052,clean,1531.0,609.0,47x47
g004a,MgSO4,MgSO4,left,43.131,0.06,184.334,0.5629,194.7833,clean,1812.0,495.0,47x47
g004a,MgSO4,MgSO4,left,53.779,0.06,200.5159,0.5629,242.2365,clean,2168.0,437.5,47x48
g004b,MgSO4,NH4,left,7.161,0.19,3.838,0.0461,,occluded,470.5,684.0,26x29
g004b,MgSO4,NH4,left,19.233,0.09,5.2123,0.0209,5.4291,clean,822.0,520.0,35x25
g004b,MgSO4,NH4,left,53.818,0.12,7.6508,0.0293,8.4158,clean,1829.0,229.0,33x33
g004b,MgSO4,Na,left,7.212,0.07,3.4274,0.0168,3.6434,clean,472.0,733.0,39x39
g004b,MgSO4,Na,left,11.437,0.14,4.5545,0.0335,4.3447,clean,595.0,598.5,35x32
g004b,MgSO4,Na,left,19.164,0.07,5.6983,0.0168,5.3582,clean,820.0,462.0,39x39
g004b,MgSO4,Na,left,26.926,0.1,6.0796,0.0251,6.1608,clean,1046.0,416.5,37x34
g004b,MgSO4,Na,left,34.757,0.34,6.838,0.0838,6.8976,occluded,1274.0,326.0,23x21
g004b,MgSO4,Na,left,43.12,0.07,7.4078,0.0168,7.5433,clean,1517.5,258.0,40x43
g004b,MgSO4,Na,left,53.818,0.07,7.0726,0.0168,8.3165,clean,1829.0,298.0,39x39
g004b,MgSO4,Cl,left,7.212,0.14,0.7123,0.0335,0.6598,clean,472.0,1057.0,43x25
g004b,MgSO4,Cl,left,11.574,0.07,0.8254,0.0168,0.8173,clean,599.0,1043.5,49x38
