# Experimental solubility data -- Prof. Fatima Farelo (IST/DEQ)
# Farelo, Fernandes & Avelino, J. Chem. Eng. Data 50 (2005) 1470-1477. DOI 10.1021/je050111j.
# Saturated-solution molalities (mol per kg water). Full transcription of the paper's data tables.
# type: binary | saturation | invariant.  (NaCl/KCl pure-water binaries are from the Table 12 smoothing eqs.)
#
system,T_K,salt1,m1_molkg,salt2,m2_molkg,solid,type
KCl+AlCl3,296.2,KCl,1.502,AlCl3,1.39,KCl,saturation
KCl+AlCl3,297.3,KCl,0.564,AlCl3,2.71,KCl,saturation
KCl+AlCl3,297.5,KCl,2.116,AlCl3,1.13,KCl,saturation
KCl+AlCl3,297.6,KCl,0.704,AlCl3,1.88,KCl,saturation
KCl+AlCl3,297.8,KCl,0.393,AlCl3,3.23,AlCl3.6H2O,saturation
KCl+AlCl3,298.0,KCl,0.475,AlCl3,3.2,AlCl3.6H2O,saturation
KCl+AlCl3,298.1,KCl,0.671,AlCl3,2.24,KCl,saturation
KCl+AlCl3,298.1,KCl,0.566,AlCl3,3.12,invariant,invariant
KCl+AlCl3,298.1,KCl,0.256,AlCl3,3.25,AlCl3.6H2O,saturation
KCl+AlCl3,298.2,KCl,0.191,AlCl3,3.33,AlCl3.6H2O,saturation
KCl+AlCl3,298.5,KCl,3.93,AlCl3,0.375,KCl,saturation
KCl+AlCl3,298.9,KCl,3.032,AlCl3,0.749,KCl,saturation
KCl+AlCl3,299.0,KCl,1.561,AlCl3,1.39,KCl,saturation
KCl+AlCl3,299.6,KCl,0.797,AlCl3,1.88,KCl,saturation
KCl+AlCl3,301.0,KCl,0.737,AlCl3,2.24,KCl,saturation
KCl+AlCl3,301.3,KCl,0.553,AlCl3,2.99,KCl,saturation
KCl+AlCl3,302.1,KCl,0.564,AlCl3,2.96,KCl,saturation
KCl+AlCl3,303.1,KCl,0.712,AlCl3,2.53,KCl,saturation
KCl+AlCl3,303.2,KCl,1.541,AlCl3,1.49,KCl,saturation
KCl+AlCl3,303.2,KCl,0.19,AlCl3,3.38,AlCl3.6H2O,saturation
KCl+AlCl3,303.3,KCl,0.255,AlCl3,3.36,AlCl3.6H2O,saturation
KCl+AlCl3,303.4,KCl,0.563,AlCl3,3.12,invariant,invariant
KCl+AlCl3,303.9,KCl,0.819,AlCl3,2.14,KCl,saturation
KCl+AlCl3,304.2,KCl,0.919,AlCl3,1.88,KCl,saturation
KCl+AlCl3,304.8,KCl,0.472,AlCl3,3.29,AlCl3.6H2O,saturation
KCl+AlCl3,304.9,KCl,4.057,AlCl3,0.375,KCl,saturation
KCl+AlCl3,305.0,KCl,2.305,AlCl3,1.13,KCl,saturation
KCl+AlCl3,305.1,KCl,0.934,AlCl3,1.88,KCl,saturation
KCl+AlCl3,306.2,KCl,1.745,AlCl3,1.39,KCl,saturation
KCl+AlCl3,306.6,KCl,3.208,AlCl3,0.749,KCl,saturation
KCl+AlCl3,306.7,KCl,0.693,AlCl3,2.71,KCl,saturation
KCl+AlCl3,306.8,KCl,0.612,AlCl3,2.99,KCl,saturation
KCl+AlCl3,308.4,KCl,0.872,AlCl3,2.24,KCl,saturation
KCl+AlCl3,308.6,KCl,0.709,AlCl3,2.7,KCl,saturation
KCl+AlCl3,309.7,KCl,0.567,AlCl3,3.13,KCl,saturation
KCl+AlCl3,311.0,KCl,1.131,AlCl3,1.88,KCl,saturation
KCl+AlCl3,311.0,KCl,0.68,AlCl3,2.99,KCl,saturation
KCl+AlCl3,311.1,KCl,4.284,AlCl3,0.375,KCl,saturation
KCl+AlCl3,311.8,KCl,0.571,AlCl3,3.13,KCl,saturation
KCl+AlCl3,312.4,KCl,2.586,AlCl3,1.13,KCl,saturation
KCl+AlCl3,312.5,KCl,1.809,AlCl3,1.49,KCl,saturation
KCl+AlCl3,312.7,KCl,0.859,AlCl3,2.53,KCl,saturation
KCl+AlCl3,312.9,KCl,1.163,AlCl3,1.88,KCl,saturation
KCl+AlCl3,313.2,KCl,0.592,AlCl3,3.13,invariant,invariant
KCl+AlCl3,315.4,KCl,1.008,AlCl3,2.24,KCl,saturation
KCl+AlCl3,316.3,KCl,2.123,AlCl3,1.39,KCl,saturation
KCl+AlCl3,316.8,KCl,2.736,AlCl3,1.13,KCl,saturation
KCl+AlCl3,316.8,KCl,0.638,AlCl3,3.13,KCl,saturation
KCl+AlCl3,317.7,KCl,0.864,AlCl3,2.7,KCl,saturation
KCl+AlCl3,317.8,KCl,0.759,AlCl3,2.99,KCl,saturation
