sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,0.0000000000e+00,0.0000000000e+00
-0.006,0.0000000000e+00,0.0000000000e+00
-0.005,0.0000000000e+00,0.0000000000e+00
-0.004,3.2801733079e-01,5.2393687523e-01
-0.003,7.9313279888e+00,1.1247251712e+01
-0.002,2.8515664731e+01,3.1223987465e+01
-0.001,3.9914004699e+01,4.4667163615e+01
+0.000,4.2321516320e+01,3.4268944074e+01
+0.001,3.6954979046e+01,3.1934651005e+01
+0.002,3.5005027301e+01,2.5110120767e+01
+0.003,6.0318637417e+00,1.7661629677e+01
+0.004,0.0000000000e+00,3.9070481010e-01
+0.005,0.0000000000e+00,0.0000000000e+00
+0.006,0.0000000000e+00,0.0000000000e+00
+0.007,0.0000000000e+00,0.0000000000e+00
+0.008,0.0000000000e+00,0.0000000000e+00
+0.009,0.0000000000e+00,0.0000000000e+00
+0.010,0.0000000000e+00,0.0000000000e+00
+0.011,0.0000000000e+00,0.0000000000e+00
+0.012,0.0000000000e+00,0.0000000000e+00
+0.013,0.0000000000e+00,0.0000000000e+00
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
