sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,2.5481072679e+00,2.0889594402e+00
-0.008,7.2388291160e+00,8.9377372468e+00
-0.007,6.1164323406e+00,7.3581995067e+00
-0.006,7.4034769664e+00,4.5449305688e+00
-0.005,5.3781100619e+00,7.7461433771e+00
-0.004,6.7828571700e+00,4.9233668536e+00
-0.003,4.1339036571e+00,4.0969913037e+00
-0.002,4.1019708325e+00,3.1477192651e+00
-0.001,4.8223352143e+00,7.0439056838e+00
+0.000,7.5190748077e+00,1.8431849189e+00
+0.001,8.1442917627e+00,9.9893860623e+00
+0.002,6.7590774302e+00,8.9514164134e+00
+0.003,7.7470264320e+00,3.8256029873e+00
+0.004,1.1384903940e+01,1.1733553776e+01
+0.005,1.8256090078e+01,1.8269109911e+01
+0.006,1.1251595584e+01,1.2813127901e+01
+0.007,0.0000000000e+00,1.6676478348e-01
+0.008,0.0000000000e+00,0.0000000000e+00
+0.009,0.0000000000e+00,0.0000000000e+00
+0.010,0.0000000000e+00,0.0000000000e+00
+0.011,0.0000000000e+00,0.0000000000e+00
+0.012,0.0000000000e+00,0.0000000000e+00
+0.013,0.0000000000e+00,0.0000000000e+00
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
