sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,0.0000000000e+00,0.0000000000e+00
-0.006,9.8970650396e-03,0.0000000000e+00
-0.005,1.6265478719e+00,1.5786719832e+00
-0.004,7.7258920649e+00,1.0518357754e+01
-0.003,2.0115717871e+01,2.2250884836e+01
-0.002,2.1698181181e+01,2.3666420761e+01
-0.001,2.0601082127e+01,1.7052201309e+01
+0.000,1.9786316376e+01,1.4804666552e+01
+0.001,1.8516818457e+01,1.5187295443e+01
+0.002,4.4762201701e+00,8.7329270906e+00
+0.003,2.8448088315e+00,2.5605104765e+00
+0.004,2.4128985331e+00,1.1836118353e+00
+0.005,1.3414006001e+00,5.2471123591e-01
+0.006,1.9483285268e+00,1.5345239243e+00
+0.007,2.1264028047e+00,1.0921678522e+00
+0.008,1.2052412477e+00,3.5494992668e-01
+0.009,1.3307477070e+00,9.0943832100e-01
+0.010,1.1652225220e+00,1.4703905468e+00
+0.011,1.9240017510e+00,2.8290857799e+00
+0.012,1.3361223668e+00,1.5334136718e+00
+0.013,1.2601679662e+00,1.1185288457e+00
+0.014,0.0000000000e+00,1.6645430177e+00
+0.015,0.0000000000e+00,8.1098836687e-02
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
