sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,1.2834265522e-01,5.9841811808e-01
-0.015,7.6222628416e-01,1.0814611334e+00
-0.014,9.9528561896e-01,1.3035107486e+00
-0.013,6.1154020705e-01,6.0737133217e-01
-0.012,9.0482734232e-01,5.8395031476e-01
-0.011,9.9049293840e-01,6.4397597929e-01
-0.010,3.5694268146e-01,1.3175441738e+00
-0.009,8.6217008585e-01,1.1604244702e+00
-0.008,1.6829172900e+00,8.7604753034e-01
-0.007,1.1736718108e+00,4.2792062984e-01
-0.006,7.5894789465e-01,1.8327508320e+00
-0.005,3.7419014983e+00,3.5757443341e+00
-0.004,7.9112965232e+00,6.4307783615e+00
-0.003,5.7675722172e+00,6.8971901046e+00
-0.002,6.7014360977e+00,5.2725967888e+00
-0.001,8.8890978212e+00,7.4634642129e+00
+0.000,3.4986046664e+00,5.0941356021e+00
+0.001,2.7411710483e+00,1.5816908790e+00
+0.002,1.7764923413e+00,2.2711405731e+00
+0.003,1.4708479711e+00,1.1808521662e+00
+0.004,1.1702941709e+00,1.2818974006e+00
+0.005,1.4002390392e+00,1.7619583995e+00
+0.006,2.0215152953e+00,1.4600043680e+00
+0.007,1.2973815064e+00,2.7865050146e-01
+0.008,1.6907368584e+00,1.0240011625e+00
+0.009,1.1763231255e+00,8.1013395748e-01
+0.010,1.3200626655e+00,2.0562984114e+00
+0.011,2.3821602485e+00,8.2221846007e-01
+0.012,2.0448364636e+00,1.4358174325e+00
+0.013,3.4309810741e+00,3.1120131937e+00
+0.014,5.7046851897e-01,1.8060802924e+00
+0.015,0.0000000000e+00,1.8032160466e+00
+0.016,0.0000000000e+00,4.8332089169e-02
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
