sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,2.9754041529e-02,0.0000000000e+00
-0.016,1.2347952276e+00,6.3394573160e-01
-0.015,2.2651818495e+00,2.3776190018e+00
-0.014,1.9720628155e+00,2.9685645340e+00
-0.013,1.8348272937e+00,1.4445555256e+00
-0.012,2.4642254986e+00,1.8220417542e+00
-0.011,1.8396816615e+00,2.0035541751e+00
-0.010,1.3374345311e+00,2.5456432501e+00
-0.009,6.5845841466e-01,1.9586973138e+00
-0.008,1.1320404627e+00,9.9672504616e-01
-0.007,1.1876838477e+00,4.0136366764e-01
-0.006,0.0000000000e+00,4.8717331065e-01
-0.005,4.9885262744e-01,1.1653546966e+00
-0.004,9.3190565618e-01,8.0350149150e-01
-0.003,1.2287247930e+00,1.3486674933e+00
-0.002,8.0672246379e-01,6.0873007951e-02
-0.001,1.1716831959e+00,1.8527579058e-02
+0.000,1.3106742570e+00,8.3669545638e-01
+0.001,8.0311589878e-01,1.0783142400e+00
+0.002,4.4885615699e-01,4.9951626681e-01
+0.003,1.2906928954e+00,1.1568909526e+00
+0.004,1.4904600688e+00,7.3389194101e-01
+0.005,1.5476812552e+00,7.0673299095e-01
+0.006,1.8277333934e+00,1.3902221027e+00
+0.007,4.8573187882e-01,9.1741766407e-01
+0.008,1.9235740430e+00,1.4426609772e+00
+0.009,2.0970097422e+00,4.3311828403e-01
+0.010,2.0523637497e+00,9.5035368268e-01
+0.011,2.4439390202e+00,1.2294839599e+00
+0.012,3.8333287536e+00,2.3088478651e+00
+0.013,3.4404567747e+00,2.3244878146e+00
+0.014,7.4155787887e-02,2.7221182907e+00
+0.015,0.0000000000e+00,1.3681806970e+00
+0.016,0.0000000000e+00,2.0533924745e+00
+0.017,0.0000000000e+00,8.0146760730e-02
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
