sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,4.0830719010e-01,3.8381333115e-02
-0.007,2.1320829624e+00,2.5313355257e+00
-0.006,5.5708344783e+00,6.2294906168e+00
-0.005,1.0444082018e+01,1.3406935790e+01
-0.004,1.4651579888e+01,1.4706174657e+01
-0.003,1.7495450126e+01,1.5994411042e+01
-0.002,1.8842192323e+01,1.5334191362e+01
-0.001,1.4974730651e+01,1.3905237446e+01
+0.000,1.1159424753e+01,1.1260218780e+01
+0.001,7.7392060834e+00,6.1030923765e+00
+0.002,2.8001038365e+00,3.1568890461e+00
+0.003,4.0823450733e+00,1.9855442558e+00
+0.004,4.3738975472e+00,2.9448366683e+00
+0.005,2.9752417916e+00,1.6298971721e+00
+0.006,3.7232728741e+00,2.3864172273e+00
+0.007,3.1085557955e+00,3.1654925693e+00
+0.008,2.5065150728e+00,2.3711701880e+00
+0.009,2.5942091603e+00,3.9990374131e+00
+0.010,2.8708665058e+00,1.9200835432e+00
+0.011,5.3705672710e+00,4.5119307757e+00
+0.012,2.9963946948e+00,4.2837727839e+00
+0.013,1.3227426435e-01,1.7225332093e+00
+0.014,0.0000000000e+00,3.0616218809e-02
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
