sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,2.7152257222e-02,1.6994682013e-01
-0.015,6.7932322490e-01,4.8136830760e-01
-0.014,9.3493244843e-01,1.5257344465e+00
-0.013,7.6444317241e-01,6.2971042576e-01
-0.012,7.9193978427e-01,5.1039566023e-01
-0.011,9.3887262413e-01,7.8574827569e-01
-0.010,5.6048893734e-01,1.1928134179e+00
-0.009,3.0275547172e-01,9.0661192996e-01
-0.008,2.2152448499e+00,7.5303956744e-01
-0.007,1.3661157563e+00,8.4840905558e-01
-0.006,4.7400328576e-01,1.0409980587e+00
-0.005,1.7952539254e+00,3.5081240254e+00
-0.004,7.5878059491e+00,9.2305019851e+00
-0.003,1.0486010677e+01,1.0089076030e+01
-0.002,1.0364416203e+01,1.0655729237e+01
-0.001,9.8012594509e+00,8.5144516180e+00
+0.000,8.0257293277e+00,6.4010019198e+00
+0.001,9.2290070514e+00,7.8170232336e+00
+0.002,4.4861988993e+00,4.1725786952e+00
+0.003,1.4561558896e+00,1.2453624251e+00
+0.004,1.4158911464e+00,1.5886226169e+00
+0.005,1.7056227916e+00,1.5276979044e+00
+0.006,1.7262300424e+00,1.1284922606e+00
+0.007,1.3770512273e+00,5.5876225399e-01
+0.008,1.3857791641e+00,1.0666487432e+00
+0.009,1.3950069607e+00,9.5767913215e-01
+0.010,1.8472452951e+00,1.4574533052e+00
+0.011,1.8018000249e+00,1.3168782510e+00
+0.012,1.7560013162e+00,1.7302086465e+00
+0.013,3.0055973194e+00,2.1255179943e+00
+0.014,9.9910187764e-01,2.2319102766e+00
+0.015,0.0000000000e+00,1.8820051745e+00
+0.016,0.0000000000e+00,3.5606830654e-01
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
