sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,0.0000000000e+00,0.0000000000e+00
-0.006,0.0000000000e+00,0.0000000000e+00
-0.005,0.0000000000e+00,0.0000000000e+00
-0.004,1.8763576045e-01,5.3426508126e-01
-0.003,7.1031724969e+00,1.0468583650e+01
-0.002,2.2629454566e+01,2.4746686544e+01
-0.001,3.1424686988e+01,3.4131196639e+01
+0.000,3.4872203004e+01,2.6063875408e+01
+0.001,2.9578445674e+01,2.4865388903e+01
+0.002,2.7878878369e+01,2.2175454397e+01
+0.003,4.9736567448e+00,1.3839689439e+01
+0.004,0.0000000000e+00,3.6278993890e-01
+0.005,0.0000000000e+00,0.0000000000e+00
+0.006,0.0000000000e+00,0.0000000000e+00
+0.007,0.0000000000e+00,0.0000000000e+00
+0.008,0.0000000000e+00,0.0000000000e+00
+0.009,0.0000000000e+00,0.0000000000e+00
+0.010,0.0000000000e+00,0.0000000000e+00
+0.011,0.0000000000e+00,0.0000000000e+00
+0.012,0.0000000000e+00,0.0000000000e+00
+0.013,0.0000000000e+00,0.0000000000e+00
+0.014,0.0000000000e+00,0.0000000000e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
