sigma,psigmaA_LVPP_A2,psigmaA_VT2005_A2
-0.025,0.0000000000e+00,0.0000000000e+00
-0.024,0.0000000000e+00,0.0000000000e+00
-0.023,0.0000000000e+00,0.0000000000e+00
-0.022,0.0000000000e+00,0.0000000000e+00
-0.021,0.0000000000e+00,0.0000000000e+00
-0.020,0.0000000000e+00,0.0000000000e+00
-0.019,0.0000000000e+00,0.0000000000e+00
-0.018,0.0000000000e+00,0.0000000000e+00
-0.017,0.0000000000e+00,0.0000000000e+00
-0.016,0.0000000000e+00,0.0000000000e+00
-0.015,0.0000000000e+00,0.0000000000e+00
-0.014,0.0000000000e+00,0.0000000000e+00
-0.013,0.0000000000e+00,0.0000000000e+00
-0.012,0.0000000000e+00,0.0000000000e+00
-0.011,0.0000000000e+00,0.0000000000e+00
-0.010,0.0000000000e+00,0.0000000000e+00
-0.009,0.0000000000e+00,0.0000000000e+00
-0.008,0.0000000000e+00,0.0000000000e+00
-0.007,4.7933081454e+00,3.5480614061e+00
-0.006,9.7041265086e+00,1.1255502863e+01
-0.005,9.2998104350e+00,1.0867469238e+01
-0.004,8.7747460185e+00,9.7948598598e+00
-0.003,1.0204883642e+01,8.8198022187e+00
-0.002,1.1795003255e+01,8.2613376111e+00
-0.001,1.4725710862e+01,1.3616882386e+01
+0.000,6.6144949959e+00,6.5695327957e+00
+0.001,2.9165071422e+00,4.6650231511e+00
+0.002,1.9443663000e+00,1.5514042522e+00
+0.003,7.3075278489e-01,1.6215588306e+00
+0.004,1.4962561462e+00,1.0504002258e+00
+0.005,2.3500920843e+00,1.5409581430e-01
+0.006,1.5459541901e+00,8.4559962323e-01
+0.007,1.4490466904e+00,8.1187782068e-01
+0.008,2.5581169623e+00,1.8788577243e+00
+0.009,1.7327810002e+00,1.5413215968e+00
+0.010,3.2244691090e+00,3.3090556731e+00
+0.011,4.6432616073e+00,4.4976982096e+00
+0.012,4.6187170074e+00,3.7705388569e+00
+0.013,1.7367040004e+00,2.5939181072e+00
+0.014,2.3624657507e-02,1.6204217357e+00
+0.015,0.0000000000e+00,0.0000000000e+00
+0.016,0.0000000000e+00,0.0000000000e+00
+0.017,0.0000000000e+00,0.0000000000e+00
+0.018,0.0000000000e+00,0.0000000000e+00
+0.019,0.0000000000e+00,0.0000000000e+00
+0.020,0.0000000000e+00,0.0000000000e+00
+0.021,0.0000000000e+00,0.0000000000e+00
+0.022,0.0000000000e+00,0.0000000000e+00
+0.023,0.0000000000e+00,0.0000000000e+00
+0.024,0.0000000000e+00,0.0000000000e+00
+0.025,0.0000000000e+00,0.0000000000e+00
