# Svehla, R. A. (1962). Estimated viscosities and thermal conductivities of gases at
# high temperatures. NASA Technical Report R-132 (Lewis Research Center).
# US government work -- public domain (no licence to honour; cite the primary).
# Table I(a) "Force constants for molecules", report pages 20-24 = PDF pages 22-26 of
# thirdParty/svehla/NASA-TR-R-132-Svehla-1962.pdf.  Table I(b) (method legend) is on report
# page 25 = PDF page 27 -- see svehla1962_methods.txt beside this file.
#
# Every value below was READ FROM THE PAGE IMAGE (pdftoppm at 300 dpi, horizontal
# slices); the pdftotext dump was used only to locate the pages.  `verified` is
# `image` for every row; a row that could not be read would say `unreadable` with
# empty values (there are none).  sigma in angstrom [A], epsilon/k in kelvin [K],
# exactly as printed (no rounding, no unit conversion).  methodSigma / methodEps are
# Svehla's Table I(b) codes: 1-4 rest on EXPERIMENTAL transport data (1 = least-squares
# fit of viscosity data; 2 = graphical, viscosity; 3 = least-squares, thermal
# conductivity; 4 = graphical, thermal conductivity); 5-23 are ESTIMATES.
# svehlaDataPage = Svehla's column "Page (b)": the report page of his calculated
# transport-property table for that molecule.  refsAsPrinted = his bibliography
# numbers (his column "Experimental viscosity data references", or, on report page
# 24 for the five repeated noble gases, "Experimental thermal conductivity data
# references" -- `refsColumn` says which).
# moleculeAsPrinted keeps Svehla's typography (subscripts flattened: CCl4, n-C4H10,
# iso-C4H10, cyclo-C3H6, B(OCH3)3, C(CH3)4).  Ar, He, Kr, Ne and Xe appear TWICE:
# once from viscosity data (report pages 20-23) and once from thermal-conductivity
# data (report page 24, methods 3/4/22).
#
pdfPage	reportPage	moleculeAsPrinted	sigma_A	epsOverK_K	methodSigma	methodEps	svehlaDataPage	refsAsPrinted	refsColumn	verified
22	20	Al	2.655	2750	5	8	27			image
22	20	AlCl	3.578	932	16	16	27			image
22	20	AlCl3	5.127	472	21	9	28			image
22	20	AlF	3.148	556	16	16	28			image
22	20	AlF3	4.198	1846	21	8	29			image
22	20	AlN	3.369	2682	16	8	29			image
22	20	AlO	3.204	542	16	16	30			image
22	20	AlS	3.730	1526	16	16	30			image
22	20	Al2	2.940	2750	14	15	31			image
22	20	Air	3.711	78.6	1	1	117	23 to 39	viscosity	image
22	20	Ar	3.542	93.3	1	1	31	23, 26, 34, 38, 40 to 44	viscosity	image
22	20	AsH3	4.145	259.8	1	1	32	45	viscosity	image
22	20	B	2.265	3331	18	8	32			image
22	20	BBr3	5.439	430	7	9	33			image
22	20	BCl	3.318	1026	16	16	33			image
22	20	BCl2	4.222	682	17	17	34			image
22	20	BCl3	5.127	337.7	1	1	34	46	viscosity	image
22	20	BF	2.888	612	16	16	35			image
22	20	BF2	3.543	399	17	17	35			image
22	20	BF3	4.198	186.3	1	1	36	47 to 49	viscosity	image
22	20	BI3	5.906	570.2	5	8	117			image
22	20	BO	2.944	596	16	16	36			image
22	20	B(OCH3)3	5.503	396.7	1	1	117	50	viscosity	image
22	20	B2	2.420	3331	14	15	37			image
22	20	B2H6	4.821	213.2	10	8	37			image
22	20	B2O3	4.158	2092	5	8	38			image
22	20	Be	2.618	3603	18	8	38			image
22	20	BeBr2	4.235	936	12	8	117			image
22	20	BeCl	3.554	1067	16	16	39			image
22	20	BeCl2	4.169	936	12	8	39			image
22	20	BeF	3.124	637	16	16	40			image
22	20	BeF2	3.452	1266	12	8	40			image
22	20	BeI2	4.955	1019	12	8	117			image
22	20	Be2	2.891	3603	14	15	117			image
22	20	Br	3.672	236.6	13	19	41			image
22	20	BrF	3.826	239	16	16	41			image
22	20	BrF3	4.366	481.7	5	8	117			image
22	20	BrO	3.882	233	16	16	117			image
22	20	Br2	4.296	507.9	1	1	42	33, 51	viscosity	image
22	20	C	3.385	30.6	13	19	42			image
22	20	CBrF3	5.01	235	20	20	43			image
22	20	CBr4	6.12	442	20	20	43			image
22	20	CCl	4.065	157.8	16	16	44			image
22	20	CClF3	4.96	188	20	20	44			image
22	20	CCl2	4.692	213	17	17	118			image
22	20	CCl2F2	5.25	253	20	20	45			image
22	20	CCl3	5.320	268	17	17	118			image
22	20	CCl3F	5.44	334	20	20	45			image
22	20	CCl4	5.947	322.7	1	1	46	32, 52 to 55	viscosity	image
22	20	CF	3.635	94.2	16	16	46			image
23	21	CF2	3.977	108	17	17	47			image
23	21	CF3	4.320	121	17	17	47			image
23	21	CF4	4.662	134.0	1	1	48	49	viscosity	image
23	21	CH	3.370	68.6	16	16	48			image
23	21	CHBrClF	5.13	345	20	20	118			image
23	21	CHBrCl2	5.25	427	20	20	49			image
23	21	CHBr3	5.33	559	20	20	49			image
23	21	CHClF2	4.68	261	20	20	50			image
23	21	CHCl3	5.389	340.2	1	1	50	32, 52, 56, 57	viscosity	image
23	21	CHF3	4.33	240	20	20	51			image
23	21	CH2BrCl	4.88	410	20	20	51			image
23	21	CH2ClF	4.48	318	20	20	52			image
23	21	CH2Cl2	4.898	356.3	1	1	52	52, 55	viscosity	image
23	21	CH2F2	4.08	318	20	20	53			image
23	21	CH2I2	5.16	630	20	20	53			image
23	21	CH3Br	4.118	449.2	1	1	54	58, 59	viscosity	image
23	21	CH3Cl	4.182	350	2	2	54	52, 56, 58 to 62	viscosity	image
23	21	CH3F	3.73	333	20	20	55			image
23	21	CH3I	4.23	519	20	20	55			image
23	21	CH3OH	3.626	481.8	1	1	56	32	viscosity	image
23	21	CH4	3.758	148.6	1	1	56	23, 27, 29, 39, 41, 44, 56, 63 to 66	viscosity	image
23	21	CN	3.856	75.0	16	16	57			image
23	21	CO	3.690	91.7	1	1	57	23, 24, 39, 40, 56, 67, 68, 69	viscosity	image
23	21	COS	4.130	336.0	1	1	58	70	viscosity	image
23	21	CO2	3.941	195.2	1	1	58	23, 34, 41, 42, 71	viscosity	image
23	21	CP	4.400	227	16	16	59			image
23	21	CS	4.216	199.4	16	19	59			image
23	21	CS2	4.483	467	2	2	60	32	viscosity	image
23	21	C2	3.913	78.8	16	16	60			image
23	21	C2H2	4.033	231.8	1	1	61	23, 42, 58, 72	viscosity	image
23	21	C2H4	4.163	224.7	1	1	61	25, 39, 58, 68, 73, 74	viscosity	image
23	21	C2H6	4.443	215.7	1	1	62	27, 44, 58, 61, 72, 75	viscosity	image
23	21	C2H5Cl	4.898	300	2	2	118	56, 61, 76	viscosity	image
23	21	C2H5OH	4.530	362.6	1	1	118	32, 57	viscosity	image
23	21	C2N2	4.361	348.6	1	1	62	66, 77	viscosity	image
23	21	CH3OCH3	4.307	395.0	1	1	63	58, 74	viscosity	image
23	21	CH2CHCH3	4.678	298.9	1	1	63	58, 72, 74, 78	viscosity	image
23	21	CH3CCH	4.761	251.8	1	1	64	58	viscosity	image
23	21	cyclo-C3H6	4.807	248.9	1	1	64	49, 58	viscosity	image
